no; id_pinjam; nik; nama; periode; angsuran; utang; bayar; saldo
2345;83;7591;RUDEUS GREYRAT;2025-08;600000;10000000;9600000;400000
2346;83;7591;RUDEUS GREYRAT;2025-09;400000;10000000;10000000;0
2404;84;7657;UCHIHA SASUKE;2024-05;500000;7000000;500000;6500000
2405;84;7657;UCHIHA SASUKE;2024-06;500000;7000000;1000000;6000000
2406;84;7657;UCHIHA SASUKE;2024-07;500000;7000000;1500000;5500000
2407;84;7657;UCHIHA SASUKE;2024-08;500000;7000000;2000000;5000000
2408;84;7657;UCHIHA SASUKE;2024-09;500000;7000000;2500000;4500000
2409;84;7657;UCHIHA SASUKE;2024-10;500000;7000000;3000000;4000000
2410;84;7657;UCHIHA SASUKE;2024-11;500000;7000000;3500000;3500000
2411;84;7657;UCHIHA SASUKE;2024-12;500000;7000000;4000000;3000000
2412;84;7657;UCHIHA SASUKE;2025-01;500000;7000000;4500000;2500000
2413;84;7657;UCHIHA SASUKE;2025-02;500000;7000000;5000000;2000000
2414;84;7657;UCHIHA SASUKE;2025-03;500000;7000000;5500000;1500000
2415;84;7657;UCHIHA SASUKE;2025-04;500000;7000000;6000000;1000000
2416;84;7657;UCHIHA SASUKE;2025-05;500000;7000000;6500000;500000
2417;84;7657;UCHIHA SASUKE;2025-06;500000;7000000;7000000;0
2280;85;7422;EREN YEAGER;2024-06;5000000;40000000;5000000;35000000
2281;85;7422;EREN YEAGER;2024-07;5000000;40000000;10000000;30000000
2282;85;7422;EREN YEAGER;2024-08;5000000;40000000;15000000;25000000
2283;85;7422;EREN YEAGER;2024-09;5000000;40000000;20000000;20000000
2284;85;7422;EREN YEAGER;2024-10;5000000;40000000;25000000;15000000
2285;85;7422;EREN YEAGER;2024-11;5000000;40000000;30000000;10000000
2286;85;7422;EREN YEAGER;2024-12;5000000;40000000;35000000;5000000
2287;85;7422;EREN YEAGER;2025-01;5000000;40000000;40000000;0
2376;86;7798;ERIS BOREAS GREYRAT;2024-06;2500000;25000000;2500000;22500000
2377;86;7798;ERIS BOREAS GREYRAT;2024-07;2500000;25000000;5000000;20000000
2378;86;7798;ERIS BOREAS GREYRAT;2024-08;2500000;25000000;7500000;17500000
2379;86;7798;ERIS BOREAS GREYRAT;2024-09;2500000;25000000;10000000;15000000
2380;86;7798;ERIS BOREAS GREYRAT;2024-10;2500000;25000000;12500000;12500000
2381;86;7798;ERIS BOREAS GREYRAT;2024-11;2500000;25000000;15000000;10000000
2382;86;7798;ERIS BOREAS GREYRAT;2024-12;2500000;25000000;17500000;7500000
2383;86;7798;ERIS BOREAS GREYRAT;2025-01;2500000;25000000;20000000;5000000
2384;86;7798;ERIS BOREAS GREYRAT;2025-02;2500000;25000000;22500000;2500000
2385;86;7798;ERIS BOREAS GREYRAT;2025-03;2500000;25000000;25000000;0
2386;87;7779;CONAN EDOGAWA;2024-05;970000;5814195;970000;4844195
2387;87;7779;CONAN EDOGAWA;2024-06;970000;5814195;1940000;3874195
2388;87;7779;CONAN EDOGAWA;2024-07;970000;5814195;2910000;2904195
2389;87;7779;CONAN EDOGAWA;2024-08;970000;5814195;3880000;1934195
2390;87;7779;CONAN EDOGAWA;2024-09;970000;5814195;4850000;964195
2391;87;7779;CONAN EDOGAWA;2024-10;964195;5814195;5814195;0
2347;88;6184;HISTORIA REISS;2024-06;1250000;15000000;1250000;13750000
2348;88;6184;HISTORIA REISS;2024-07;1250000;15000000;2500000;12500000
2349;88;6184;HISTORIA REISS;2024-08;1250000;15000000;3750000;11250000
2350;88;6184;HISTORIA REISS;2024-09;1250000;15000000;5000000;10000000
2351;88;6184;HISTORIA REISS;2024-10;1250000;15000000;6250000;8750000
2352;88;6184;HISTORIA REISS;2024-11;1250000;15000000;7500000;7500000
2353;88;6184;HISTORIA REISS;2024-12;1250000;15000000;8750000;6250000
2354;88;6184;HISTORIA REISS;2025-01;1250000;15000000;10000000;5000000
2355;88;6184;HISTORIA REISS;2025-02;1250000;15000000;11250000;3750000
2356;88;6184;HISTORIA REISS;2025-03;1250000;15000000;12500000;2500000
2357;88;6184;HISTORIA REISS;2025-04;1250000;15000000;13750000;1250000
2358;88;6184;HISTORIA REISS;2025-05;1250000;15000000;15000000;0
2308;89;7663;ERWIN SMITH;2024-08;1250000;15000000;1250000;13750000
2309;89;7663;ERWIN SMITH;2024-09;1250000;15000000;2500000;12500000
2310;89;7663;ERWIN SMITH;2024-10;1250000;15000000;3750000;11250000
2311;89;7663;ERWIN SMITH;2024-11;1250000;15000000;5000000;10000000
2312;89;7663;ERWIN SMITH;2024-12;1250000;15000000;6250000;8750000
2313;89;7663;ERWIN SMITH;2025-01;1250000;15000000;7500000;7500000
2314;89;7663;ERWIN SMITH;2025-02;1250000;15000000;8750000;6250000
2315;89;7663;ERWIN SMITH;2025-03;1250000;15000000;10000000;5000000
2316;89;7663;ERWIN SMITH;2025-04;1250000;15000000;11250000;3750000
2317;89;7663;ERWIN SMITH;2025-05;1250000;15000000;12500000;2500000
2318;89;7663;ERWIN SMITH;2025-06;1250000;15000000;13750000;1250000
2319;89;7663;ERWIN SMITH;2025-07;1250000;15000000;15000000;0
2288;90;7333;ARMIN ARLERT;2024-06;500000;10000000;500000;9500000
2289;90;7333;ARMIN ARLERT;2024-07;500000;10000000;1000000;9000000
2290;90;7333;ARMIN ARLERT;2024-08;500000;10000000;1500000;8500000
2291;90;7333;ARMIN ARLERT;2024-09;500000;10000000;2000000;8000000
2292;90;7333;ARMIN ARLERT;2024-10;500000;10000000;2500000;7500000
2293;90;7333;ARMIN ARLERT;2024-11;500000;10000000;3000000;7000000
2294;90;7333;ARMIN ARLERT;2024-12;500000;10000000;3500000;6500000
2295;90;7333;ARMIN ARLERT;2025-01;500000;10000000;4000000;6000000
2296;90;7333;ARMIN ARLERT;2025-02;500000;10000000;4500000;5500000
2297;90;7333;ARMIN ARLERT;2025-03;500000;10000000;5000000;5000000
2298;90;7333;ARMIN ARLERT;2025-04;500000;10000000;5500000;4500000
2299;90;7333;ARMIN ARLERT;2025-05;500000;10000000;6000000;4000000
2300;90;7333;ARMIN ARLERT;2025-06;500000;10000000;6500000;3500000
2301;90;7333;ARMIN ARLERT;2025-07;500000;10000000;7000000;3000000
2302;90;7333;ARMIN ARLERT;2025-08;500000;10000000;7500000;2500000
2303;90;7333;ARMIN ARLERT;2025-09;500000;10000000;8000000;2000000
2304;90;7333;ARMIN ARLERT;2025-10;500000;10000000;8500000;1500000
2305;90;7333;ARMIN ARLERT;2025-11;500000;10000000;9000000;1000000
2306;90;7333;ARMIN ARLERT;2025-12;500000;10000000;9500000;500000
2307;90;7333;ARMIN ARLERT;2026-01;500000;10000000;10000000;0
2392;91;7106;UZUMAKI NARUTO;2024-07;500000;6000000;500000;5500000
2393;91;7106;UZUMAKI NARUTO;2024-08;500000;6000000;1000000;5000000
2394;91;7106;UZUMAKI NARUTO;2024-09;500000;6000000;1500000;4500000
2395;91;7106;UZUMAKI NARUTO;2024-10;500000;6000000;2000000;4000000
2396;91;7106;UZUMAKI NARUTO;2024-11;500000;6000000;2500000;3500000
2397;91;7106;UZUMAKI NARUTO;2024-12;500000;6000000;3000000;3000000
2398;91;7106;UZUMAKI NARUTO;2025-01;500000;6000000;3500000;2500000
2399;91;7106;UZUMAKI NARUTO;2025-02;500000;6000000;4000000;2000000
2400;91;7106;UZUMAKI NARUTO;2025-03;500000;6000000;4500000;1500000
2401;91;7106;UZUMAKI NARUTO;2025-04;500000;6000000;5000000;1000000
2402;91;7106;UZUMAKI NARUTO;2025-05;500000;6000000;5500000;500000
2403;91;7106;UZUMAKI NARUTO;2025-06;500000;6000000;6000000;0
2359;95;9039;LEVI ACKERMAN;2024-08;3000000;50000000;3000000;47000000
2360;95;9039;LEVI ACKERMAN;2024-09;3000000;50000000;6000000;44000000
2361;95;9039;LEVI ACKERMAN;2024-10;3000000;50000000;9000000;41000000
2362;95;9039;LEVI ACKERMAN;2024-11;3000000;50000000;12000000;38000000
2363;95;9039;LEVI ACKERMAN;2024-12;3000000;50000000;15000000;35000000
2364;95;9039;LEVI ACKERMAN;2025-01;3000000;50000000;18000000;32000000
2365;95;9039;LEVI ACKERMAN;2025-02;3000000;50000000;21000000;29000000
2366;95;9039;LEVI ACKERMAN;2025-03;3000000;50000000;24000000;26000000
2367;95;9039;LEVI ACKERMAN;2025-04;3000000;50000000;27000000;23000000
2368;95;9039;LEVI ACKERMAN;2025-05;3000000;50000000;30000000;20000000
2369;95;9039;LEVI ACKERMAN;2025-06;3000000;50000000;33000000;17000000
2370;95;9039;LEVI ACKERMAN;2025-07;3000000;50000000;36000000;14000000
2371;95;9039;LEVI ACKERMAN;2025-08;3000000;50000000;39000000;11000000
2372;95;9039;LEVI ACKERMAN;2025-09;3000000;50000000;42000000;8000000
2373;95;9039;LEVI ACKERMAN;2025-10;3000000;50000000;45000000;5000000
2374;95;9039;LEVI ACKERMAN;2025-11;3000000;50000000;48000000;2000000
2375;95;9039;LEVI ACKERMAN;2025-12;2000000;50000000;50000000;0
